user_id,merchant_name,amount,timestamp,category
user_0104,Motilal Oswal,486.26,2025-06-30T09:43:47.192692,investment
user_0186,State Bank Of India,114.83,2025-08-27T06:43:47.192784,investment
user_0119,E-district,1894.22,2025-09-06T18:43:47.192849,utilities
user_0106,Craftsvilla,224.23,2025-08-04T14:43:47.192899,shopping
user_0058,Wi-fi Connection,1071.02,2025-06-29T05:43:47.192947,utilities
user_0055,Paid Parking,81.65,2025-09-03T15:43:47.192993,transport
user_0156,Library Fees,325.12,2025-06-20T21:43:47.193034,education
user_0125,Doctor Consultation,1782.32,2025-06-23T08:43:47.193073,shopping
user_0014,Bnp Paribas,95.21,2025-07-14T03:43:47.193114,investment
user_0164,Kallada Travels,57.65,2025-09-02T09:43:47.193153,transport
user_0007,Apple India,2067.29,2025-08-06T00:43:47.193191,shopping
user_0061,Goair,203.06,2025-09-08T15:43:47.193233,transport
user_0077,Medanta,246.08,2025-06-25T07:43:47.193272,healthcare
user_0180,Fiber Internet,1679.43,2025-06-22T13:43:47.193310,utilities
user_0057,Asianet Digital Tv,1308.66,2025-08-26T09:43:47.193350,utilities
user_0037,Wine Shop,705.14,2025-08-25T15:43:47.193387,shopping
user_0148,Toptal,3464.04,2025-08-13T11:43:47.193423,shopping
user_0108,Cake Shop,1103.55,2025-07-11T16:43:47.193463,shopping
user_0166,Software Subscription,405.83,2025-09-08T19:43:47.193504,entertainment
user_0046,Natraj Restaurant,185.68,2025-06-22T05:43:47.193543,food
user_0019,Tamil Mess,80.96,2025-08-12T15:43:47.193582,food
user_0022,Book World,162.6,2025-09-09T16:43:47.193619,shopping
user_0052,Municipal Tax,2438.52,2025-08-17T15:43:47.193655,utilities
user_0180,Magic Show,562.82,2025-08-22T18:43:47.193694,shopping
user_0088,Airtel Xstream Fiber,1589.97,2025-08-07T04:43:47.193734,utilities
user_0161,Sonyliv,1205.62,2025-08-10T04:43:47.193774,entertainment
user_0043,Niva Bupa,446.5,2025-08-31T15:43:47.193818,investment
user_0072,Surat HPCL Fuel Station,131.36,2025-07-12T18:43:47.193859,transport
user_0121,Fundsindia,154.99,2025-06-21T05:43:47.193900,investment
user_0056,Flower Shop,153.38,2025-07-25T09:43:47.193938,shopping
user_0008,Bharti Gas,1724.87,2025-06-29T23:43:47.193979,utilities
user_0031,Mysore Pak Shop,60.67,2025-08-05T12:43:47.194018,food
user_0114,Tata Play Broadband,2125.38,2025-07-24T14:43:47.194054,utilities
user_0107,Truffles,678.46,2025-06-20T15:43:47.194090,shopping
user_0121,Uco Bank,171.0,2025-07-02T04:43:47.194125,investment
user_0048,Brand Factory,642.38,2025-06-29T19:43:47.194160,shopping
user_0189,Jsw Energy,1699.6,2025-06-30T07:43:47.194194,utilities
user_0077,Mysuru Indian Oil Pump,215.12,2025-07-14T18:43:47.194230,transport
user_0032,Gst Portal,1045.52,2025-06-17T00:43:47.194268,other
user_0022,Chennai Metro Card,251.44,2025-07-24T13:43:47.194307,transport
user_0029,Dance Performance,128.65,2025-07-01T16:43:47.194346,shopping
user_0112,Explara,142.27,2025-07-19T08:43:47.194384,entertainment
user_0024,Lawrence & Mayo,822.29,2025-08-15T08:43:47.194422,shopping
user_0143,Higginbothams,276.16,2025-06-28T14:43:47.194460,shopping
user_0031,Hyderabad Nayara Petrol Pump,22.54,2025-08-04T23:43:47.194498,transport
user_0106,Green Fresh,332.49,2025-08-20T21:43:47.194537,shopping
user_0109,Essar Oil,10.0,2025-08-24T12:43:47.194572,transport
user_0111,Wbsedcl,1561.2,2025-06-13T00:43:47.194607,utilities
user_0092,Bhel Puri Stall,155.46,2025-07-23T10:43:47.194643,food
user_0135,Bses Rajdhani,816.0,2025-08-09T14:43:47.194677,utilities
user_0033,India Post,159.1,2025-07-21T22:43:47.194711,transport
user_0156,Digital Gold,1421.83,2025-08-23T01:43:47.194747,shopping
user_0135,24seven,232.06,2025-08-28T00:43:47.194785,shopping
user_0182,Square Yards,562.33,2025-06-21T19:43:47.194824,shopping
user_0146,City Tour,228.13,2025-09-06T18:43:47.194862,transport
user_0103,Chennai Metro,10.0,2025-08-21T06:43:47.194901,transport
user_0077,Bmc Mumbai,665.01,2025-08-25T00:43:47.194940,other
user_0137,LIC,104.56,2025-07-01T04:43:47.194982,investment
user_0106,Rayban Store,1003.75,2025-08-07T02:43:47.195022,shopping
user_0063,Thane BPCL Fuel Station,38.97,2025-06-13T21:43:47.195058,transport
user_0111,Nursing Charges,387.14,2025-07-01T21:43:47.195094,shopping
user_0008,A1 Coaching,667.69,2025-09-09T14:43:47.195129,education
user_0164,Surat HPCL Fuel Station,34.21,2025-08-31T14:43:47.195168,transport
user_0118,Goair,129.24,2025-09-05T11:43:47.195202,transport
user_0049,Biba,1017.15,2025-08-28T13:43:47.195237,shopping
user_0021,Hardware Store,326.32,2025-07-12T18:43:47.195274,shopping
user_0071,Disney+ Hotstar,361.76,2025-06-26T03:43:47.195313,shopping
user_0017,Doctor Consultation,1334.61,2025-09-04T02:43:47.195351,shopping
user_0122,Tea Stall,1183.2,2025-08-12T21:43:47.195389,food
user_0140,Biryani By Kilo,480.96,2025-08-05T03:43:47.195427,food
user_0033,Edelweiss,658.82,2025-09-06T23:43:47.195465,investment
user_0020,Getmega,125.83,2025-07-07T04:43:47.195503,entertainment
user_0140,Prithvi Cafe,732.53,2025-09-05T21:43:47.195643,food
user_0044,Prasads Multiplex,179.7,2025-07-11T05:43:47.195687,entertainment
user_0068,Cargo Airlines,88.21,2025-07-26T23:43:47.195727,transport
user_0132,Meesho,476.85,2025-08-20T03:43:47.195766,shopping
user_0099,Shama Travels,15.42,2025-07-20T16:43:47.195808,transport
user_0155,Uni Card,540.24,2025-07-05T20:43:47.195850,shopping
user_0014,Bigbasket,1442.33,2025-07-17T21:43:47.195891,shopping
